 '[Cl-].OCC[NH2+]CCO'
 '[NH3+][C@H](CO)CC([O-])=O'
 '[NH3+]C[C@H](O)C([O-])=O'
 '[NH3+]C1(CO)CCCC1'
 '[NH3+]CCC[NH2+]CCO'
 '[NH3+]CCCCCO'
 '[NH3+]CCCCO'
 'C[C@@H](O)[C@@H]([NH3+])CO'
 'C[C@@H](O)[C@H]([NH3+])CO'
 'C[C@@H](O)C(N)=O'
 'C[C@@H](O)CC[NH3+]'
 'C[C@@H](O)CN'
 'CC(C)(C)NCCO'
 'CC(C)(CN)CN'
 'CC(C)(CN)CO'
 'CC(C)(N)CCO'
 'CC(C)(N)CO'
 'CC(C)(O)C(N)=O'
 'CC(C)(O)CN'
 'CC(C)[C@H]([NH3+])CO'
 'CC(C)C(N)CO'
 'CC(C)C[C@@H]([NH3+])CO'
 'CC(C)C[C@H]([NH3+])CO'
 'CC(C)CC(N)CO'
 'CC(C)NCCO'
 'CC(CO)N(C)C'
 'CC(N)(CO)CO'
 'CC(N)C(C)O'
 'CC(N)CN(C)C'
 'CC(N)CO'
 'CC(O)CCN'
 'CC(O)CN'
 'CC(O)CN(C)C'
 'CC(O)CNCC(C)O'
 'CC(O)CNCCN'
 'CC[C@H](C)[C@H]([NH3+])CO'
 'CCC(C)C(N)CO'
 'CCC(N)(CO)CO'
 'CCC(N)C(C)O'
 'CCC(N)CCN'
 'CCC(O)CN'
 'CCCC[C@@H]([NH3+])CO'
 'CCCC[C@H]([NH3+])CO'
 'CCCNCCO'
 'CCCCN'
 'CCN(CC)CCO'
 'CCN1CCCC1CN'
 'CCNCCN'
 'CCNCCO'
 'CCOCC[NH3+]'
 'Cl.CCCCON'
 'Cl.Cl.NOCCON'
 'Cl.N[C@@H](CO)C(N)=O'
 'CN(C)CCN'
 'CN(C)CCN(C)C'
 'CN(C)CCO'
 'CN(C)CCOCCN'
 'CN(CCN)CCN'
 'CN(CCO)CCO'
 'CN1CCOCC1CN'
 'CNCC(C)O'
 'CNCC(O)CO'
 'CNCC(O)COC'
 'CNCCN'
 'CNCCN(C)C'
 'CNCCNC'
 'CNCCO'
 'CNOC'
 'COC(CN)OC'
 'COCC(O)CN'
 'COCCCN'
 'COCCN'
 'CSCCC(N)CO'
 'N[C@@H](CCO)C(O)=O'
 'NC(=O)C(O)c1ccccc1'
 'NC(=O)c1noc(CO)n1'
 'NC(=O)CSCCO'
 'NC(CO)(CO)CO'
 'NC(CO)C(O)=O'
 'NC(CO)CO'
 'NC[C@@H](O)CO'
 'Nc1cc(CO)cc[nH+]1'
 'Nc1ccc(N)nc1'
 'NC1CCC(O)CC1'
 'Nc1cccc(CO)c1'
 'NC1CCCC(N)C1'
 'NC1CCCC1O'
 'Nc1ccccc1CCO'
 'NC1CCCCC1O'
 'Nc1cccnc1N'
 'NC1CCNC1'
 'NC1CCNCC1'
 'Nc1ccncc1CO'
 'Nc1ccnn1CCO'
 'Nc1cnccc1CO'
 'Nc1ncccc1CO'
 'Nc1ncnc(N)n1'
 'NCC(O)C(O)=O'
 'NCC(O)c1occc1'
 'NCC1(O)CCC1'
 'NCc1ccccc1N'
 'NCCCCCCO'
 'NCCCCNCCO'
 'NCCCN(CCO)CCO'
 'NCCCNCCN'
 'NCCCO'
 'NCCCOCCCN'
 'NCCN'
 'NCCN(CCN)CCN'
 'NCCN1CCOCC1'
 'NCCN1CCSCC1'
 'NCCNCC(O)=O'
 'NCCO'
 'NCCOCCN'
 'NCCOCCO'
 'NCCOCCOCCN'
 'NNCCO'
 'NOCCO'
 'O[C@@H]1CC[NH2+]C1'
 'O[C@H]1CC[NH2+]C1'
 'O=C1C=CNC=C1'
 'OCC1CCCN1'
 'OCCN(CCO)CCO'
 'OCCN1CC1'
 'OCCN1CCNCC1'
 'OCCNC(=O)C(F)(F)F'
 'OCCNCCNCCO'
 'OCCNCCO'
 'OCCNCO'
'CC(O)CN(CC(C)O)CC(C)O'
CC(O)CN(CC(C)O)CC(C)O'
